Date,daily_death_EastMidlands,sero,sero_lower,sero_upper
2020/4/9,65,,,
2020/4/10,57,,,
2020/4/11,63,,,
2020/4/12,57,,,
2020/4/13,48,,,
2020/4/14,60,,,
2020/4/15,65,,,
2020/4/16,32,,,
2020/4/17,60,,,
2020/4/18,49,,,
2020/4/19,51,,,
2020/4/20,63,,,
2020/4/21,39,,,
2020/4/22,39,,,
2020/4/23,51,,,
2020/4/24,41,,,
2020/4/25,41,,,
2020/4/26,47,0.064,0.055,0.092
2020/4/27,45,,,
2020/4/28,43,,,
2020/4/29,50,,,
2020/4/30,42,,,
2020/5/1,40,,,
2020/5/2,34,,,
2020/5/3,40,,,
2020/5/4,42,,,
2020/5/5,39,,,
2020/5/6,35,,,
2020/5/7,32,,,
2020/5/8,31,,,
2020/5/9,35,,,
2020/5/10,24,,,
2020/5/11,29,,,
2020/5/12,33,,,
2020/5/13,15,,,
2020/5/14,30,,,
2020/5/15,18,,,
2020/5/16,23,,,
2020/5/17,16,0.06,0.041,0.081
2020/5/18,27,,,
2020/5/19,22,,,
2020/5/20,23,,,
2020/5/21,25,,,
2020/5/22,21,,,
2020/5/23,29,,,
2020/5/24,14,,,
2020/5/25,19,,,
2020/5/26,23,,,
2020/5/27,20,,,
2020/5/28,19,,,
2020/5/29,11,,,
2020/5/30,17,,,
2020/5/31,13,,,
2020/6/1,17,,,
2020/6/2,13,,,
2020/6/3,19,,,
2020/6/4,15,,,
2020/6/5,8,,,
2020/6/6,16,,,
2020/6/7,12,,,
2020/6/8,16,,,
2020/6/9,12,,,
2020/6/10,11,,,
2020/6/11,18,,,
2020/6/12,12,,,
2020/6/13,5,,,
2020/6/14,14,0.074,0.056,0.095
2020/6/15,8,,,
2020/6/16,6,,,
2020/6/17,6,,,
2020/6/18,12,,,
2020/6/19,9,,,
2020/6/20,12,,,
2020/6/21,7,0.074,0.056,0.095
2020/6/22,7,,,
2020/6/23,6,,,
2020/6/24,13,,,
2020/6/25,11,,,
2020/6/26,5,,,
2020/6/27,6,,,
2020/6/28,4,,,
2020/6/29,5,,,
2020/6/30,5,,,
2020/7/1,4,,,
2020/7/2,4,,,
2020/7/3,1,,,
2020/7/4,2,,,
2020/7/5,4,,,
2020/7/6,3,,,
2020/7/7,2,,,
2020/7/8,2,,,
2020/7/9,5,,,
2020/7/10,2,,,
2020/7/11,2,,,
2020/7/12,2,0.065,0.047,0.086
2020/7/13,1,,,
2020/7/14,2,,,
2020/7/15,4,,,
2020/7/16,4,,,
2020/7/17,2,,,
2020/7/18,1,,,
2020/7/19,3,0.065,0.047,0.086
2020/7/20,2,,,
2020/7/21,5,,,
2020/7/22,0,,,
2020/7/23,1,,,
2020/7/24,0,,,
2020/7/25,2,,,
2020/7/26,5,,,
2020/7/27,1,,,
2020/7/28,1,,,
2020/7/29,1,,,
2020/7/30,1,,,
2020/7/31,0,,,
2020/8/1,0,,,
2020/8/2,2,0.046,0.03,0.065
2020/8/3,1,,,
2020/8/4,2,,,
2020/8/5,0,,,
2020/8/6,0,,,
2020/8/7,0,,,
2020/8/8,1,,,
2020/8/9,0,0.046,0.03,0.065
2020/8/10,2,,,
2020/8/11,2,,,
2020/8/12,1,,,
2020/8/13,1,,,
2020/8/14,0,,,
2020/8/15,0,,,
2020/8/16,0,,,
2020/8/17,0,,,
2020/8/18,0,,,
2020/8/19,0,,,
2020/8/20,1,,,
2020/8/21,1,,,
2020/8/22,1,,,
2020/8/23,0,,,
2020/8/24,0,,,
2020/8/25,2,,,
2020/8/26,0,,,
2020/8/27,1,,,
2020/8/28,0,,,
2020/8/29,0,,,
2020/8/30,2,0.068,0.049,0.089
2020/8/31,1,,,
2020/9/1,0,,,
2020/9/2,1,,,
2020/9/3,0,,,
2020/9/4,2,,,
2020/9/5,0,,,
2020/9/6,1,0.068,0.049,0.089
2020/9/7,1,,,
2020/9/8,0,,,
2020/9/9,1,,,
2020/9/10,0,,,
2020/9/11,0,,,
2020/9/12,3,,,
2020/9/13,1,,,
2020/9/14,1,,,
2020/9/15,1,,,
2020/9/16,1,,,
2020/9/17,0,,,
2020/9/18,1,,,
2020/9/19,2,,,
2020/9/20,0,,,
2020/9/21,3,,,
2020/9/22,3,,,
2020/9/23,1,,,
2020/9/24,3,,,
2020/9/25,3,,,
2020/9/26,1,,,
2020/9/27,4,,,
2020/9/28,1,,,
2020/9/29,3,,,
2020/9/30,2,,,
2020/10/1,2,,,
2020/10/2,1,,,
2020/10/3,7,,,
2020/10/4,4,,,
2020/10/5,3,,,
2020/10/6,3,,,
2020/10/7,4,,,
2020/10/8,2,,,
2020/10/9,6,,,
2020/10/10,3,,,
2020/10/11,7,,,
2020/10/12,6,,,
2020/10/13,10,,,
2020/10/14,10,,,
2020/10/15,14,,,
2020/10/16,9,,,
2020/10/17,17,,,
2020/10/18,6,,,
2020/10/19,9,,,
2020/10/20,17,,,
2020/10/21,11,,,
2020/10/22,25,,,
2020/10/23,22,,,
2020/10/24,22,,,
2020/10/25,22,,,
2020/10/26,21,,,
2020/10/27,24,,,
2020/10/28,28,,,
2020/10/29,20,,,
2020/10/30,28,,,
2020/10/31,29,,,
2020/11/1,32,,,
2020/11/2,36,,,
2020/11/3,24,,,
2020/11/4,36,,,
2020/11/5,31,,,
2020/11/6,33,,,
2020/11/7,32,,,
